Year,0 g/km,1 - 50 g/km,51-75 g/km,76 - 90 g/km,91 - 100 g/km,101 - 110 g/km,111 - 130 g/km,131 - 150 g/km,151 - 170 g/km,171 - 190 g/km,191 - 225 g/km,226 - 255 g/km,Over 255 g/km,Not known,Total,Average CO2 (g/km)
2007,1.19,0.01,0.00,0.35,0.04,128.41,853.27,4190.12,4436.40,2808.37,2021.59,780.55,630.90,12149.06,28000.26,171.14
2008,1.32,0.01,0.00,0.36,3.32,198.31,1102.65,4810.52,4900.75,3076.30,2163.31,798.20,670.55,10435.10,28160.70,169.55
2009,1.43,0.01,0.00,3.81,17.65,305.18,1498.05,5383.77,5252.18,3248.81,2252.50,815.64,691.92,8775.52,28246.47,167.56
2010,1.51,0.01,0.02,8.96,47.97,439.20,2048.77,5870.81,5503.45,3336.51,2284.53,822.49,693.16,7363.52,28420.88,165.24
2011,2.57,0.01,0.03,12.90,113.30,631.41,2616.26,6292.28,5644.45,3350.56,2267.25,821.49,679.29,6035.49,28467.29,162.79
2012,4.03,0.99,0.03,28.51,264.03,840.13,3299.88,6663.63,5682.76,3321.31,2233.82,815.42,662.61,4905.33,28722.45,160.09
2013,6.08,1.99,0.11,57.91,545.86,1101.57,4039.79,6946.98,5657.70,3240.73,2170.89,798.67,644.76,3927.90,29140.94,157.04
2014,11.85,9.50,1.89,108.03,874.68,1447.09,4760.14,7089.17,5560.84,3106.05,2100.61,769.31,624.06,3148.27,29611.49,153.89
2015,20.22,26.00,8.07,168.32,1242.84,1936.67,5455.01,7154.74,5400.17,2956.93,2004.83,733.94,603.89,2538.67,30250.29,150.56
2016,28.81,50.24,18.21,226.65,1570.03,2472.10,6209.97,7153.48,5149.62,2777.87,1890.76,688.13,580.12,2034.46,30850.44,147.25
2017,41.02,79.16,30.71,278.35,1801.49,2930.69,6928.58,7093.87,4853.92,2582.95,1753.90,633.91,552.16,1639.46,31200.18,144.33
2018,55.22,109.96,43.06,325.92,1951.04,3247.23,7609.54,7042.80,4617.59,2410.40,1625.64,579.59,522.16,1377.46,31517.60,141.93
2019,89.56,129.67,54.33,380.89,2021.51,3479.16,8261.79,7035.92,4457.64,2245.92,1518.31,531.05,492.95,1189.75,31888.45,139.90